customer_segment,key,interco,company_name,icao,cage,,,,,
Proponent,N,N,"JSC ""PERM ENGINE COMPANY""",ZZZZZ,,,,,,
,,N,JSC ''SUKHOI CIVIL AIRCRAFT'',ZZZZZ,,,,,,
Aircraft Operators,N,N,KALITTA AIR LLC,CKS,,,,,,
Proponent,N,N,"KG Aircraft Rotables Co., LTD",ZZZZZ,,,,,,
Proponent,N,N,Killick Aerospace Limited,ZZZZZ,,,,,,
Aircraft Operators,Y,N,KLM,KLM,,,,,,
Aircraft Operators,Y,N,Korean Air,KAL,,,,,,
Proponent,N,N,KRAFTWERKE OBERHASLI AG,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Kuwait Airways,KAC,,,,,,
Airframe OEM,Y,N,Leonardo,ZZZZZ,K0058,,,,,
Integrated Service Providers,Y,N,LHT,ZZZZZ,,,,,,
Aircraft Operators,N,N,LIAT AIRLINES,LIA,,,,,,
Aircraft Operators,Y,N,"LION AIR, INC",LNI,,,,,,
Aircraft Operators,N,N,LUXAIR S.A.,LGL,,,,,,
Proponent,N,N,Magellan,ZZZZZ,,,,,,
Proponent,N,N,Max Lehner & Co AG,ZZZZZ,,,,,,
Interco,N,Y,"Meggitt (Maryland), Inc",ZZZZZ,,,,,,
Interco,,Y,Meggitt (New Hampshire) Inc.,ZZZZZ,,,,,,
Interco,N,Y,MEGGITT (NORTH HOLLYWOOD),ZZZZZ,,,,,,
Interco,,Y,MEGGITT (ORANGE COUNTY) INC,ZZZZZ,,,,,,
Interco,N,Y,Meggitt (Simi Valley) Inc.,ZZZZZ,,,,,,
Interco,N,Y,MEGGITT AEROSPACE ASIA PACIFIC,ZZZZZ,,,,,,
Interco,N,Y,Meggitt Aerospace Limited,ZZZZZ,,,,,,
Interco,N,Y,Meggitt Aftermarket Services,ZZZZZ,,,,,,
Interco,N,Y,MEGGITT AIRCRAFT BRAKING SYSTEM,ZZZZZ,,,,,,
Interco,N,Y,MEGGITT CONTROL SYSTEMS BIRMINGHAM,ZZZZZ,,,,,,
Interco,N,Y,MEGGITT CONTROL SYSTEMS COVENTRY,ZZZZZ,,,,,,
Interco,,Y,Meggitt India Private Limited,ZZZZZ,,,,,,
Interco,N,Y,MEGGITT POLYMER & COMPOSITES,ZZZZZ,,,,,,
Interco,N,Y,Meggitt SA,ZZZZZ,,,,,,
Interco,N,Y,MEGGITT(NORTH HOLLYWOOD),ZZZZZ,,,,,,
TBD,N,N,"MID CONTINENT AVIATION SERVICES, INC",ZZZZZ,,,,,,
Proponent,N,N,MIDEAST AIRCRAFT,ZZZZZ,,,,,,
TBD,N,N,Mitsubishi Hitachi Power Syste,ZZZZZ,,,,,,
,,N,MSI AIRCRAFT MAINTENANCE SERVI,ZZZZZ,,,,,,
Engine MRO shop,Y,N,MTU MAINTENANCE,ZZZZZ,,,,,,
,,N,MTU MAINTENANCE HANNOVER GMBH,ZZZZZ,,,,,,
Engine MRO shop,Y,N,N3 ENGINE OVERHAUL SERVICES,ZZZZZ,,,,,,
,,N,NAIZAK GLOBAL ENGINEERING,ZZZZZ,,,,,,
Aircraft Operators,N,N,NIPPON CARGO AIRLINES,NCA,,,,,,
Aircraft Operators,N,N,NOORDZEE HELIKOPTERS VLAANDERE,NHX,,,,,,
Interco,N,Y,OECO,ZZZZZ,,,,,,
Integrated Service Providers,Y,N,OEMServices,ZZZZZ,,,,,,
Proponent,N,N,Orange Aero Ltd,ZZZZZ,,,,,,
Engine MRO shop,Y,N,P&W EAGLE SERVICES ASIA,ZZZZZ,,,,,,
Interco,N,Y,PACIFIC SCIENTIFIC - HTL,ZZZZZ,,,,,,
Interco,N,Y,PACIFIC SCIENTIFIC - MIAMI,ZZZZZ,,,,,,
Interco,N,Y,PACIFIC SCIENTIFIC LIMITED,ZZZZZ,,,,,,
Aircraft Operators,N,N,PAKISTAN INTERNATIONAL AIRLINES,PIA,,,,,,
Proponent,N,N,Plus Ultra,ZZZZZ,,,,,,
Engine OEM,Y,N,Pratt & Whitney,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Qantas Airways,QFA,,,,,,
Aircraft Operators,Y,N,Qatar Airways,QTR,,,,,,
TBD,N,N,Radiant Group LLC,ZZZZZ,,,,,,
Proponent,N,N,Reef Aviation Group,ZZZZZ,,,,,,
Proponent,N,N,Regional Airline Support Group,ZZZZZ,,,,,,
Component MRO 3rd Party,N,N,REGIONAL ONE,ZZZZZ,,,,,,
Proponent,N,N,REPMAN CO. LTD,ZZZZZ,,,,,,
Proponent,N,N,RHEINLAND AIR SERVICE,ZZZZZ,,,,,,
,,N,Rohr Aero Services - Prestwick,ZZZZZ,,,,,,
Engine OEM,Y,N,Rolls Royce,ZZZZZ,,,,,,
,,N,ROLLS-ROYCE DEUTSCHLAND,ZZZZZ,,,,,,
Engine OEM,Y,N,Rosemount Aerospace,ZZZZZ,,,,,,
